age	data_type
60.45	genomes
61.64	genomes
80.27	genomes
65.97	genomes
62.98	genomes
60.01	genomes
65.43	genomes
61.84	genomes
71.03	genomes
64.8	genomes
75.64	genomes
61.07	genomes
72.5	genomes
62.96	genomes
62.32	genomes
62.04	genomes
59.72	genomes
60.41	genomes
59.57	genomes
64.24	genomes
68.41	genomes
60.67	genomes
73.02	genomes
65.8	genomes
61.49	genomes
82.44	genomes
68.3	genomes
72.87	genomes
69.11	genomes
62.37	genomes
64.81	genomes
59.5	genomes
63.67	genomes
60.97	genomes
65.27	genomes
67.88	genomes
65.2	genomes
62.83	genomes
77.05	genomes
66.28	genomes
60.39	genomes
66.53	genomes
64.35	genomes
61.44	genomes
66.83	genomes
67.56	genomes
62.65	genomes
62.85	genomes
62.68	genomes
53.23	genomes
80.7	genomes
59.51	genomes
56.5	genomes
58.7	genomes
69.6	genomes
54.6	genomes
49.5	genomes
52.7	genomes
48.4	genomes
47.71	genomes
54.1	genomes
79	genomes
83	genomes
80	genomes
79	genomes
79	genomes
78	genomes
78	genomes
79.4	genomes
80.8	genomes
87.04	genomes
72.4	genomes
63.5	genomes
60.49	genomes
80	genomes
69.2	genomes
60.6	genomes
64.41	genomes
61.9	genomes
76.25	genomes
61.58	genomes
65.48	genomes
63.56	genomes
74.3	genomes
60.53	genomes
62.45	genomes
64.73	genomes
64.36	genomes
60.25	genomes
65.21	genomes
55.5	genomes
48.6	genomes
55.2	genomes
51.8	genomes
38.5	genomes
84	genomes
82	genomes
78	genomes
79	genomes
62.8	genomes
65.5	genomes
85.2	genomes
85.8	genomes
67.69	genomes
66.47	genomes
62.48	genomes
70.79	genomes
70.36	genomes
61.26	genomes
62.17	genomes
32	genomes
59.11	genomes
51.4	genomes
71.97	genomes
59.92	genomes
63.77	genomes
64.86	genomes
61.61	genomes
39.6	genomes
59.1	genomes
49.5	genomes
54.9	genomes
79	genomes
84	genomes
79	genomes
78	genomes
82.2	genomes
85	genomes
62.3	genomes
63.5	genomes
62.8	genomes
65.47	genomes
68.66	genomes
61.37	genomes
68.2	genomes
54.3	genomes
59.5	genomes
56.1	genomes
47.4	genomes
51.9	genomes
39.4	genomes
63.6	genomes
52.5	genomes
51.6	genomes
45.9	genomes
38.4	genomes
42.2	genomes
65.1	genomes
50.3	genomes
48.4	genomes
58.7	genomes
51.8	genomes
52.8	genomes
55.8	genomes
81	genomes
79	genomes
81	genomes
79	genomes
80	genomes
78	genomes
79	genomes
83	genomes
78	genomes
79.2	genomes
71.3	genomes
64.8	genomes
65.3	genomes
83.3	genomes
63.4	genomes
80	genomes
62.5	genomes
64.8	genomes
60.1	genomes
68.9	genomes
64.77	genomes
64.16	genomes
60.47	genomes
64.56	genomes
63.45	genomes
61.33	genomes
60.2	genomes
61.63	genomes
64.98	genomes
63.9	genomes
62.68	genomes
59.71	genomes
51.5	genomes
81	genomes
70.5	genomes
29	genomes
32	genomes
30	genomes
28	genomes
32	genomes
27	genomes
32	genomes
31	genomes
32	genomes
25	genomes
28	genomes
28	genomes
25	genomes
32	genomes
31	genomes
28	genomes
33	genomes
26	genomes
27	genomes
25	genomes
28	genomes
29	genomes
26	genomes
32	genomes
29	genomes
32	genomes
28	genomes
29	genomes
26	genomes
29	genomes
27	genomes
28	genomes
28	genomes
33	genomes
31	genomes
26	genomes
33	genomes
33	genomes
25	genomes
32	genomes
30	genomes
29	genomes
32	genomes
26	genomes
27	genomes
30	genomes
27	genomes
28	genomes
31	genomes
30	genomes
30	genomes
29	genomes
27	genomes
27	genomes
26	genomes
31	genomes
25	genomes
32	genomes
30	genomes
28	genomes
32	genomes
29	genomes
26	genomes
29	genomes
33	genomes
25	genomes
30	genomes
29	genomes
26	genomes
26	genomes
33	genomes
27	genomes
27	genomes
32	genomes
32	genomes
33	genomes
25	genomes
32	genomes
29	genomes
27	genomes
27	genomes
30	genomes
28	genomes
33	genomes
32	genomes
30	genomes
30	genomes
29	genomes
27	genomes
29	genomes
32	genomes
31	genomes
32	genomes
33	genomes
30	genomes
28	genomes
25	genomes
27	genomes
32	genomes
29	genomes
26	genomes
30	genomes
25	genomes
30	genomes
